قلب المرأة, 6 مايو 1940,ﺩﺭاﻣﺎ,87,تدور أحداث الفيلم حول (خيرية)، الفتاة الثرية التي كانت مخطوبة لأحد أبناء عمومتها، وبعد أن تفقد أسرتها كل الثروة التي تملكها، يتخلى عنها ابن العم ويقترن بفتاة أخرى، وخلال بداية الأسرة من جديد لكي تقف على قدميها، تتعرف خيرية على (فايز) وترتبط به على الرغم من اعتراض العائلة عليه بسبب أصوله الاجتماعية المتواضعة على الرغم من كونه قد استطاع تكوين ثروة يعتد بها.,توجو مزراحي (أحمد المشرقي),"سليمان نجيب,أمينة رزق,دولت أبيض,عقيلة راتب,سلوى علام,زوزو نبيل,حسن مختار صقر,نينا زاكي,مختار عثمان,أنور وجدي,حسن فايق,فاخر فاخر,محمود المليجي,زكي إبراهيم,عزيزة محمد,مرجريت صوفير,مرجريت صفير,لطفي الحكيم",,عبدالحليم نصر,,,,,توجو مزراحي (أحمد المشرقي),منتخبات بهنا فيلم
يوم سعيد,15 يناير 1940,موسيقي / استعراضي,125,محمد كمال شاب بسيط ويعطف عليه أصحاب البيت الذي يسكن فيه. يلتقي في الترام بفتاة يحبها وتبادله مشاعره، إلا أن والدها يعترض على هذه العلاقة مستندًا إلى فقر هذا المطرب، وتحاول أمينة مع والدها الذي يوافق على مقابلته، لكن تصادف أن يوم المقابلة يوافق يوم احتفال عند الهانم التى يعمل عندها والد الفتاة. ,"عبدالوارث عسر,محمد كريم,بيرم التونسي,حسين السيد,عزت الهجين,أحمد شوقي,بشارة الخوري,أحمد رامي,عباس علام","محمد عبدالوهاب,علوية جميل,عبدالوارث عسر,فردوس محمد,فؤاد شفيق,إلهام حسين,سميحة سميح,بديعة صادق,أحمد علام,مصطفى راشد,سعيد أبو بكر,أمين وهبة,عفيفة إسكندر,عباس فارس,فردوس حسن,فاتن حمامة",,"بريما فيرا,محمد عبدالعظيم,جورج بنوا,مصطفى حسن",محمد كريم,حسين رستم,,"محمد عبدالوهاب,أسمهان",محمد كريم,
الورشة,28 نوفمبر 1940,ﺩﺭاﻣﺎ,105,   الاسطى على عبدالرحمن(إستفان روستى)صاحب ورشة ميكانيكاللسيارات يعيش مع زوجته زينب (عزيزه امير)وإبنه مصطفى(ممدوح ذوالفقار)وأمه (ثريا فخرى)ولأنه ميكانيكى شاطر فقد  إختارته مجموعه  من الباشاوات محبى  الصيد للسفر  زمعهم للصحراء فى رحلة صيد  للعناية بسياراتهم اثناء الرحله.    سافر الاسطى على بعد ان عهد برعاية أسرته الى شقيق زوجته عباس(إنور وجدى).   حدثت عاصفة شديده وفقدت قافلة الصيد وعثروا على الجميع ماعدا الاسطى على الذى ظن الجميع انه قد مات. كان عباس معاقرا للخمر فبدأ بإختلاس دخل الورشه وامتنع عن دفع أقساط المعدات وعجز عن دفع أجورالعمال وهرب عملاء الورشه إشتكى رئيس العمال الاسطى حسن(حسن مختار)الى زينب التى أبعدت أخيهاعن الإداره وباعت  مصاغها وسددت للعمال  أجورهم وارتدت  زى الرجال ونزلت   للعمل بالورشه بإسم الاسطى زهزه. حضر احمد فخرى(محمود ذو الفقار) لإستلام سيارته وتعرف على الاسطى زهزه وتصادقا. كانت رفيعه(نجمه ابراهيم)خطيبة احمد متحررة اكثر من اللازم أثار استياءه منها مما دعا والدها (عمر وصفى) لأن يثور عليها وعلى امها سنيه (سرينا ابراهيم)ونصح احمد بترك رفيعه لأن أفكارها تسممت بالمدنية وعليه البحث عن فتاه بتربية شرقيه.     سافر احمد الى الاسكندريه  وتصادف ان الاسطى زهزه كان مسافرا فإصطحبه معه وهو لايدرى انه إمرأه وفى الطريق تعطلت السياره واضطروا  للمبيت بالريست  هاوس وفى الصباح رأى احمد الاسطى زهزه وقد انحسر غطاء رأسه وظهر شعره فعلم انه إمرأه فتكتم الامر.  عاون احمد  الورشه بجلب عملاء لها  ولكن عباس عاد للشرب  وبدأت مشاكله مع اخته وفى زياره لأحمد للورشه انفردبالاسطى زهزه فإستاء العمال من الوضع ودارت معركه بين أنصار احمد وأنصار عباس.  طردت زينب عباس وأنصاره من الورشه فذهب عباس الى رفيعه وطلب منها ابعاد احمدعن شقيقته فدبرت لهما مكيده فقد استمعت من طرف خفى لحديث دار بين احمد وزينب ثم أعادت على أسماع زينب نفس الحديث  على انها علمته من  احمد مما دعا زينب لطرد احمد من منزلها والذى إلتحق بالجيش  المصرى وفى نفس الوقت  تطوع عباس وعندما تقابلا  اعترف عباس لأحمد  بالحقيقه مما  أصاب احمد  بحمى نقل على اثرها للمستشفى العسكرى بينما اعترف عباس لأخته بالحقيقة فسارعت للمستشفى وعرض عليها احمدالزواج ووافقت وفى يوم الفرح شاءت الأقدار أن يعود الاسطى على سالماولم ينكر على زوجته ميلها لآخر بل كل ماكان  يرجوه هو إبنه مصطفى واستعد الاسطى  على للمغادره واحتارت زينب بين على واحمد  ولكن احمد اختار الانسحاب  والعمل على لم شمل الاسره وعاد الى وحدته العسكرية يؤدى شرف الجندية.  ,"عزيزة أمير,محمود ذو الفقار","عزيزة أمير,أنور وجدي,عمر وصفي,عبدالسلام النابلسي,محمود ذو الفقار,إستيفان روستي,سرينا إبراهيم,نجمة إبراهيم,ثريا فخري,حسن مختار صقر,ممدوح ذو الفقار,عز الدين ذو الفقار",إيزيس فيلم,"أرام ماراليان,فيري فاركاش (فرانسوا فاركاش)",,محمد كامل,,عبدالحميد عبدالرحمن,إستيفان روستي,منتخبات بهنا فيلم
فتاة متمردة,18 مايو 1940,,110,   تعمل عواطف (بديعة مصابني) راقصة فى إحدي الصالات، ولكي لا تعلم إبنتها درية (ماري كويني) هذه الحقيقة تلحقها بمدرسة داخلية، لا تغادرها حتى فى الأجازات، وتهرب درية من المدرسة الداخلية، وتعود الى منزل والدتها، وتصر على البقاء فيه. تتعرف درية فى إحدي جولاتها على الشاب الوسيم شريف (محسن سرحان)، وينمو الحب بلقبيهما، فخاصم شريف كل أفعال الطيش التى كان يرتكبها بالسهر فى الصالات والتعرف على الساقطات والراقصات. ويرغب شريف فى الزواج من درية، ليبدأ حياة الإستقامة، وحينما تقدم لخطبتها من أمها، إكتشف أنها إحدي راقصات وغانيات أحد الملاهي التى كان من روادها، وتتفاجأ درية، التى لم تكن تعلم عن أمها شيئاً، ويتصارع عقل شريف مع قلبه، ويميل لجانب قلبه، ولكن عائلته لا توافق، ويفضي كاظم (عباس فارس) شقيق شريف إلى درية بسر رفض عائلته، وهو أنهم يعرفون حقيقة مهنة امها الراقصة، وتصدم درية وتتجه يوما الى الصالة التى تعمل أمها بها، وتري بعينها أمها وهى ترقص وتغني، فتعود الى حياة المدرسة الداخلية، وتصاب الأم بالشلل متأثرة بما حدث لإبنتها، وأنها كانت السبب فيما حدث لها، كما يصاب شريف بحزن شديد وألم نفسي بسبب فراق حبيبته درية. تتسلم درية خطاباً يفيد أن أمها تلازم الفراش، لاصابتها بالشلل، فتتجه إلى المنزل حيث ترقد أمها، وتضطر لتغطية تكاليف علاج أمها، بأن تعمل مطربة فى نفس الصالة التى كانت ترقص فيها أمها. تموت الأم عواطف، بعد كثير من الأحداث المأساوية، التى تعرضت لها وإبنتها درية، التى حزنت حزناً شديداً، وتترك درية الصالة، وتشتغل فى حياكة الملابس بمنزلها، لتعول نفسها، ويعلم شريف بما أقدمت عليه حبيبته، وأنها عملت فى الصالة لإنقاذ أمها، فلما ماتت أمها، عادت للطريق القويم، فيعود إليها ويتزوجها. (فتاة متمردة) ,"أحمد جلال,عبدالعزيز سلام,يوسف صالح,أمين صدقي","ماري كويني,محسن سرحان,بديعة مصابني,عباس فارس,أنور وجدي,ثريا فخري,يوسف صالح,زوزو شمس الدين,فؤاد المصري,بشارة واكيم,إبراهيم مصطفى",لوتس فيلم (آسيا وشركاها),"عبدالمنعم صبحي,توليو كيارينى /توليو كاريني",ماري كويني,,,"فريد غصن,ماري كويني,شمس الدين","أحمد جلال,محمد زكى محمود",منتخبات بهنا فيلم
حياة الظلام, 1 يناير 1940,ﺩﺭاﻣﺎ,94,عائلة متوسطة الحال، يحصل الابن على إجازة كلية الحقوق، ويريد أن يكون ابنه محاميًا إلا أن الابن يريد أن يكون كاتبًا روائيًّا، يلتف حول الابن أصحاب السوء فينساق وراءهم لحياة اللهو وينزلق إلى الهوة ويخون الأمانة ويتصرف في مال أبيه ويسرق مصاغ أمه لسد مطالب عشيقته مما يؤدي إلى وفاة أمه.,"عبدالحميد عبدالرحمن,عزت الجاهلي,محمد الكحلاوي","ميمي شكيب,محسن سرحان,روحية خالد,فردوس محمد,ثريا حلمي,فؤاد شفيق,منسى فهمي,أنور وجدي,عبدالفتاح القصري,عبدالمجيد شكري,يحيى نجاتي,مصطفى الجزار,محمد إبراهيم,فؤاد فهيم,إدمون تويما,محمد الكحلاوي,عبده السروجي,حسن بيومي,آمال حسين,حسين عيسى,لولا صدقي",محمد جمال الدين رفعت,محمد عبدالعظيم,جمال مدكور,"روبرت شارفنبرج,علي عابد",,"عبدالحميد عبدالرحمن,عزت الجاهلي,محمد الكحلاوي","أحمد بدرخان,فريد الجندي",
رجل بين امرأتين, 7 اكتوبر 1940,,95,,فريد غصن,"بدر لاما,أمينة رزق,بدرية رأفت,احمد عبدالله,فردوس محمد,محمود المليجي,زوزو شمس الدين,سامي نعمان,ثريا فخري,عبدالمجيد شكري,سامى نعسان",كوندور فيلم,عبدالله الشيب,"ألبير نجيب,بدر لاما","ستوديو لاما,محروس زيادة",,"فريد غصن,يوسف صالح,سامي نعسان,أمينة رزق,بدر لاما,زوزو شمس الدين",إبراهيم لاما,منتخبات بهنا فيلم
تحت السلاح, 8 فبراير 1940,,-,أمينة فتاة من أسرة عريقة، تقرر العائلة زواجها من ابن عمها حكيم حفاظًا على الثروة، وبما أن هذا الزواج قد تم فرضًا فكانا يعيشان كالأغراب، تمر السنوات وتقوم الحرب فيصاب عادل ابنها بالحمى فينقل للمستشفى، تزوره والدته، وتتقابل مع الضابط خالد الذي تبهره بجمالها وهو لا يعرف أنها زوجة صديقة حكيم.,,"أحمد علام,زوزو شكيب,عباس فارس,محمد الديب,زينات صدقي,علي رشدي,فتحي الصافوري,بديعة صادق",ألفيس أورفانيللي,,,,,,فؤاد الجزايرلي,
أصحاب العقول, 1940,,-,كتب أحد المستكشفين الأوربيين إلى صديقه حمدي بك أنه توجد قبور لمومياء في ضواحي الإسكندرية لم تكتشف بعد، يدعوه حمدي للحضور، ومعه زوجته وبعض من أصحابه، رأى أحد أصدقاء حمدي بأن الضيوف عددهم 13 وهو رقم يتشاءم منه الأوربيون، فطلب من أحد خدم المنزل أن يقوم بتمثيل دور سلطان بلد خيالي.,,"بهيجة المهدي,بشارة واكيم,فوزي منيب,سليمان نجيب",أفلام وادي النيل (فهمي داود وشركاه),ألفيس أورفانيللي,,,,,ألفيس أورفانيللي,
صرخة في الليل,31 اكتوبر 1940,,110,,فريد غصن,"بدر لاما,رجاء عبده,سميحة سميح,بشارة واكيم,منسى فهمي,فاخر فاخر",كوندور فيلم,إبراهيم شيبا,"بدر لاما,ألبير نجيب",محروس زيادة,,"فريد غصن,يوسف صالح",إبراهيم لاما,منتخبات بهنا فيلم
الباشمقاول,18 يناير 1940,ﺩﺭاﻣﺎ,85,تدور أحداث الفيلم حول المحامي ممتاز الذي يهوى مغازلة النساء، رغم زواجه، ويستمر بخيانة زوجته، حتى تقرر أن تلقنه درسًا بالاتفاق مع صديقتها، حيث تتظاهر بخيانته مع رجل آخر، فهل تنطلي الحيلة على ممتاز ويصدق خيانة زوجته له؟ أم يفهم الدرس ويكف عن خيانتها؟,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي","فوزي الجزايرلي,ميمي شكيب,إحسان الجزايرلي,زوزو شكيب,فردوس محمد,تحية كاريوكا,زكية إبراهيم,مرجريت صفير,إيزابيل,بشارة واكيم,حسن فايق,أحمد الحداد,كيرياكو بيتريدس,حسين عيسى,بير ميسى,مرجريت صوفير","توجو مزراحي (أحمد المشرقي),عبدالحميد زكي","محمود نصر,عبدالحليم نصر",,,,فريد غصن,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي",منتخبات بهنا فيلم
